Date,Time,Latitude,Longitude
17/3/24,07:26:32,2.942528,101.873085
17/3/24,07:26:33,2.942527,101.873085
17/3/24,07:26:34,2.942528,101.873084
17/3/24,07:26:35,2.942527,101.873085
17/3/24,07:26:36,2.942525,101.873087
17/3/24,07:26:37,2.942524,101.87309
17/3/24,07:26:38,2.942523,101.87309
17/3/24,07:26:39,2.942522,101.87309
17/3/24,07:26:40,2.942521,101.873093
17/3/24,07:26:41,2.942518,101.873096
17/3/24,07:26:42,2.942516,101.873098
17/3/24,07:26:43,2.942515,101.873099
17/3/24,07:26:44,2.942516,101.873098
17/3/24,07:26:45,2.942515,101.873098
17/3/24,07:26:46,2.942515,101.873098
17/3/24,07:26:47,2.942517,101.873097
17/3/24,07:26:48,2.942517,101.873097
17/3/24,07:26:49,2.942518,101.873099
17/3/24,07:26:50,2.94252,101.873096
17/3/24,07:26:51,2.94252,101.873095
17/3/24,07:26:52,2.942522,101.873094
17/3/24,07:26:53,2.942522,101.873093
17/3/24,07:26:54,2.942522,101.873095
17/3/24,07:26:55,2.942521,101.873096
17/3/24,07:26:56,2.942522,101.873094
17/3/24,07:26:57,2.942522,101.873092
17/3/24,07:26:58,2.942521,101.873091
17/3/24,07:26:59,2.942521,101.873089
17/3/24,07:27:00,2.942521,101.873086
17/3/24,07:27:01,2.94252,101.873085
17/3/24,07:27:02,2.94252,101.873083
17/3/24,07:27:03,2.942519,101.873081
17/3/24,07:27:04,2.942519,101.87308
17/3/24,07:27:05,2.942519,101.873076
17/3/24,07:27:06,2.94252,101.873073
17/3/24,07:27:07,2.942521,101.87307
17/3/24,07:27:08,2.942521,101.873067
17/3/24,07:27:09,2.942523,101.873063
17/3/24,07:27:10,2.942524,101.87306
17/3/24,07:27:11,2.942526,101.873058
17/3/24,07:27:12,2.942528,101.873055
17/3/24,07:27:13,2.94253,101.873051
17/3/24,07:27:14,2.942532,101.873048
17/3/24,07:27:15,2.942534,101.873045
17/3/24,07:27:16,2.942536,101.873041
17/3/24,07:27:17,2.942538,101.873038
17/3/24,07:27:18,2.942539,101.873036
17/3/24,07:27:19,2.94254,101.873035
17/3/24,07:27:20,2.942542,101.873033
17/3/24,07:27:21,2.942544,101.87303
17/3/24,07:27:22,2.942551,101.87303
17/3/24,07:27:23,2.942555,101.873027
17/3/24,07:27:24,2.942559,101.873021
17/3/24,07:27:25,2.942569,101.87302
17/3/24,07:27:26,2.942581,101.873018
17/3/24,07:27:27,2.942594,101.873017
17/3/24,07:27:28,2.942603,101.873017
17/3/24,07:27:29,2.942613,101.873017
17/3/24,07:27:30,2.942621,101.873014
17/3/24,07:27:31,2.94263,101.873009
17/3/24,07:27:32,2.942617,101.872993
17/3/24,07:27:33,2.942626,101.872991
17/3/24,07:27:34,2.942629,101.872985
17/3/24,07:30:25,2.943563,101.873419
17/3/24,07:30:26,2.943569,101.873429
17/3/24,07:30:27,2.94358,101.87344
17/3/24,07:30:28,2.943589,101.87345
17/3/24,07:30:29,2.943595,101.873464
17/3/24,07:30:30,2.943601,101.87347
17/3/24,07:30:31,2.943608,101.873481
17/3/24,07:30:32,2.943615,101.873493
17/3/24,07:30:33,2.943624,101.873503
17/3/24,07:30:34,2.943633,101.873509
17/3/24,07:30:35,2.943643,101.873515
17/3/24,07:30:36,2.943652,101.873524
17/3/24,07:30:37,2.943658,101.873532
17/3/24,07:30:38,2.943665,101.873541
17/3/24,07:30:39,2.943671,101.87355
17/3/24,07:30:40,2.943675,101.873558
17/3/24,07:30:41,2.943676,101.873573
17/3/24,07:30:42,2.943682,101.87358
17/3/24,07:30:43,2.943689,101.873587
17/3/24,07:30:44,2.943697,101.873595
17/3/24,07:30:45,2.943704,101.873606
17/3/24,07:30:46,2.943708,101.873615
17/3/24,07:30:47,2.943715,101.873625
17/3/24,07:30:48,2.943723,101.873646
17/3/24,07:30:49,2.943731,101.873659
17/3/24,07:30:50,2.943736,101.873668
17/3/24,07:30:51,2.943742,101.873677
17/3/24,07:30:52,2.943746,101.873682
17/3/24,07:30:53,2.943744,101.873685
17/3/24,07:30:54,2.943741,101.873691
17/3/24,07:30:55,2.943739,101.873701
17/3/24,07:30:56,2.94374,101.873709
17/3/24,07:30:57,2.943743,101.873715
17/3/24,07:30:58,2.943745,101.873722
17/3/24,07:30:59,2.943747,101.873728
17/3/24,07:31:00,2.943751,101.873737
17/3/24,07:31:01,2.943756,101.873743
17/3/24,07:31:02,2.943762,101.873751
17/3/24,07:31:03,2.943766,101.873758
17/3/24,07:31:04,2.943771,101.873765
17/3/24,07:31:05,2.943776,101.873771
17/3/24,07:31:06,2.94378,101.873778
17/3/24,07:31:07,2.943785,101.873787
17/3/24,07:31:08,2.943787,101.873797
17/3/24,07:31:09,2.943791,101.873802
17/3/24,07:31:10,2.943794,101.873809
17/3/24,07:31:11,2.943796,101.873816
17/3/24,07:31:12,2.943799,101.873822
17/3/24,07:31:13,2.943805,101.873824
17/3/24,07:31:14,2.943813,101.873828
17/3/24,07:31:15,2.943825,101.87383
17/3/24,07:31:16,2.943832,101.873832
17/3/24,07:31:17,2.94384,101.873837
17/3/24,07:31:18,2.943849,101.873841
17/3/24,07:31:19,2.943858,101.873841
17/3/24,07:31:20,2.943865,101.873841
17/3/24,07:31:21,2.943871,101.87384
17/3/24,07:31:22,2.94388,101.873839
17/3/24,07:31:23,2.943893,101.873847
17/3/24,07:31:24,2.943902,101.873844
17/3/24,07:31:25,2.943909,101.873842
17/3/24,07:31:26,2.943918,101.873839
17/3/24,07:31:27,2.943928,101.873838
17/3/24,07:31:28,2.943937,101.873838
17/3/24,07:31:29,2.943947,101.873833
17/3/24,07:31:30,2.943956,101.873835
17/3/24,07:31:31,2.943964,101.873839
17/3/24,07:31:32,2.943971,101.873842
17/3/24,07:31:33,2.943989,101.873835
17/3/24,07:31:34,2.943998,101.873836
17/3/24,07:31:35,2.943998,101.873845
17/3/24,07:31:36,2.944008,101.873852
17/3/24,07:31:37,2.944014,101.873861
17/3/24,07:31:38,2.944024,101.873865
17/3/24,07:31:39,2.944034,101.87387
17/3/24,07:31:40,2.944042,101.873874
17/3/24,07:31:41,2.944049,101.873877
17/3/24,07:31:42,2.944058,101.873882
17/3/24,07:31:43,2.944062,101.873886
17/3/24,07:31:44,2.944068,101.873889
17/3/24,07:31:45,2.944072,101.873894
17/3/24,07:31:46,2.944096,101.873904
17/3/24,07:31:48,2.944181,101.873917
17/3/24,07:31:49,2.944181,101.873934
17/3/24,07:31:50,2.944185,101.87392
17/3/24,07:31:51,2.944188,101.873937
17/3/24,07:31:52,2.944194,101.873944
17/3/24,07:31:53,2.944203,101.873949
17/3/24,07:31:54,2.944218,101.873953
17/3/24,07:31:55,2.944231,101.873958
17/3/24,07:31:56,2.944235,101.873963
17/3/24,07:31:57,2.944228,101.873968
17/3/24,07:31:58,2.944222,101.873974
17/3/24,07:31:59,2.944225,101.873977
17/3/24,07:32:00,2.944228,101.873983
17/3/24,07:32:01,2.944231,101.873983
17/3/24,07:32:02,2.944231,101.873981
17/3/24,07:32:03,2.944229,101.873981
17/3/24,07:32:04,2.944225,101.873981
17/3/24,07:32:05,2.944224,101.873975
17/3/24,07:32:06,2.944232,101.873968
17/3/24,07:32:07,2.944234,101.873963
17/3/24,07:32:08,2.944228,101.873967
17/3/24,07:32:09,2.944228,101.873975
17/3/24,07:32:10,2.944229,101.873981
17/3/24,07:32:11,2.944227,101.873992
17/3/24,07:32:12,2.944227,101.873997
17/3/24,07:32:13,2.944227,101.874002
17/3/24,07:32:14,2.944228,101.874007
17/3/24,07:32:16,2.944235,101.874024
17/3/24,07:32:17,2.944243,101.874031
17/3/24,07:32:18,2.944251,101.874038
17/3/24,07:32:19,2.944258,101.874046
17/3/24,07:32:20,2.944264,101.874054
17/3/24,07:32:21,2.944268,101.874065
17/3/24,07:32:22,2.944271,101.874066
17/3/24,07:32:23,2.944277,101.874072
17/3/24,07:32:24,2.944278,101.874085
17/3/24,07:32:25,2.944285,101.874092
17/3/24,07:32:26,2.944296,101.874093
17/3/24,07:32:27,2.944308,101.874093
17/3/24,07:32:28,2.944318,101.874095
17/3/24,07:32:29,2.944327,101.874099
17/3/24,07:32:30,2.944335,101.8741
17/3/24,07:32:31,2.944342,101.874099
17/3/24,07:32:32,2.944351,101.874098
17/3/24,07:32:33,2.94436,101.874096
17/3/24,07:32:34,2.94437,101.874092
17/3/24,07:32:35,2.944379,101.874091
17/3/24,07:32:36,2.944387,101.874087
17/3/24,07:32:37,2.944396,101.874083
17/3/24,07:32:38,2.944406,101.874081
17/3/24,07:32:39,2.944416,101.874083
17/3/24,07:32:40,2.944431,101.874087
17/3/24,07:32:41,2.944439,101.874089
17/3/24,07:32:42,2.944448,101.874092
17/3/24,07:32:43,2.944455,101.874093
17/3/24,07:32:44,2.944458,101.874094
17/3/24,07:32:45,2.944459,101.874091
17/3/24,07:32:46,2.944459,101.874086
17/3/24,07:32:47,2.944459,101.874083
17/3/24,07:32:48,2.944458,101.874082
17/3/24,07:32:49,2.944458,101.874083
17/3/24,07:32:50,2.944458,101.874082
17/3/24,07:32:51,2.944458,101.874081
17/3/24,07:32:52,2.944457,101.874082
17/3/24,07:32:53,2.944457,101.874081
17/3/24,07:32:54,2.94446,101.874083
17/3/24,07:32:55,2.944461,101.874088
17/3/24,07:32:56,2.94446,101.874087
17/3/24,07:32:57,2.94446,101.874089
17/3/24,07:32:58,2.944459,101.874085
